Species,Leaf,Curve,Photo,Ci,Tleaf,Season,fitgroup
Picea mariana,3,9,4.476626,309.000000,20.340000,Cool,Cool
Picea mariana,3,9,5.102164,479.000000,20.350000,Cool,Cool
Picea mariana,3,9,5.446795,659.000000,20.380000,Cool,Cool
Picea mariana,3,9,5.658792,843.000000,20.370000,Cool,Cool
Picea mariana,4,10,-0.614710,47.400000,20.150000,Cool,Cool
Picea mariana,4,10,0.914498,80.900000,20.130000,Cool,Cool
Picea mariana,4,10,3.581853,152.000000,20.170000,Cool,Cool
Picea mariana,4,10,5.617049,230.000000,20.170000,Cool,Cool
Picea mariana,4,10,6.454150,313.000000,20.150000,Cool,Cool
Picea mariana,4,10,6.483760,317.000000,20.150000,Cool,Cool
Picea mariana,4,10,7.381108,498.000000,20.180000,Cool,Cool
Picea mariana,4,10,7.859773,687.000000,20.210000,Cool,Cool
Picea mariana,4,10,8.159362,876.000000,20.250000,Cool,Cool
Picea mariana,5,11,-0.435721,50.000000,20.330000,Cool,Cool
Picea mariana,5,11,0.621021,77.400000,20.330000,Cool,Cool
Picea mariana,5,11,2.588565,137.000000,20.340000,Cool,Cool
Picea mariana,5,11,4.360871,206.000000,20.340000,Cool,Cool
Picea mariana,5,11,5.289180,285.000000,20.360000,Cool,Cool
Picea mariana,5,11,5.302650,287.000000,20.340000,Cool,Cool
Picea mariana,5,11,6.171977,463.000000,20.370000,Cool,Cool
Picea mariana,5,11,6.620159,652.000000,20.340000,Cool,Cool
Picea mariana,5,11,6.904396,845.000000,20.390000,Cool,Cool
Picea mariana,6,12,-0.177288,53.600000,20.330000,Cool,Cool
Picea mariana,6,12,0.593891,87.300000,20.360000,Cool,Cool
Picea mariana,6,12,2.008615,162.000000,20.310000,Cool,Cool
Picea mariana,6,12,2.978000,240.000000,20.360000,Cool,Cool
Picea mariana,6,12,3.382476,323.000000,20.320000,Cool,Cool
Picea mariana,6,12,3.411758,330.000000,20.380000,Cool,Cool
Picea mariana,6,12,3.851759,510.000000,20.370000,Cool,Cool
Picea mariana,6,12,4.080905,694.000000,20.330000,Cool,Cool
Picea mariana,6,12,4.239748,877.000000,20.440000,Cool,Cool
Picea mariana,1,13,-0.808510,69.300000,30.910000,Cool,Cool
Picea mariana,1,13,-0.193136,99.700000,30.780000,Cool,Cool
Picea mariana,1,13,0.834696,155.000000,30.750000,Cool,Cool
Picea mariana,1,13,1.893654,217.000000,30.700000,Cool,Cool
Picea mariana,1,13,2.866817,280.000000,30.680000,Cool,Cool
Picea mariana,1,13,3.405066,325.000000,31.050000,Cool,Cool
Picea mariana,1,13,4.539484,491.000000,31.210000,Cool,Cool
Picea mariana,1,13,5.035082,667.000000,31.370000,Cool,Cool
Picea mariana,1,13,5.360053,848.000000,31.480000,Cool,Cool
Picea mariana,2,14,-0.965727,71.500000,30.900000,Cool,Cool
Picea mariana,2,14,-0.267560,98.300000,30.710000,Cool,Cool
Picea mariana,2,14,1.048591,154.000000,30.680000,Cool,Cool
Picea mariana,2,14,2.357848,215.000000,30.690000,Cool,Cool
Picea mariana,2,14,3.681464,280.000000,30.490000,Cool,Cool
Picea mariana,2,14,3.895623,298.000000,30.880000,Cool,Cool
Picea mariana,2,14,5.661126,461.000000,30.830000,Cool,Cool
Picea mariana,2,14,6.342000,638.000000,31.050000,Cool,Cool
Picea mariana,2,14,6.801218,820.000000,31.050000,Cool,Cool
Picea mariana,3,15,-0.241318,96.700000,30.390000,Cool,Cool
Picea mariana,3,15,0.396706,124.000000,30.330000,Cool,Cool
Picea mariana,3,15,1.572395,178.000000,30.270000,Cool,Cool
Picea mariana,3,15,2.753944,237.000000,30.200000,Cool,Cool
Picea mariana,3,15,3.914211,300.000000,30.060000,Cool,Cool
Picea mariana,3,15,4.071670,318.000000,30.580000,Cool,Cool
Picea mariana,3,15,5.442584,479.000000,30.620000,Cool,Cool
Picea mariana,3,15,6.052401,653.000000,30.720000,Cool,Cool
Picea mariana,3,15,6.461988,835.000000,30.740000,Cool,Cool
Picea mariana,4,16,-1.671241,58.000000,30.200000,Cool,Cool
Picea mariana,4,16,-0.447056,89.800000,29.720000,Cool,Cool
Picea mariana,4,16,1.905312,156.000000,29.150000,Cool,Cool
Picea mariana,4,16,3.418651,219.000000,30.350000,Cool,Cool
Picea mariana,4,16,5.227148,288.000000,30.370000,Cool,Cool
Picea mariana,4,16,5.796378,311.000000,30.330000,Cool,Cool
Picea mariana,4,16,7.844560,475.000000,30.450000,Cool,Cool
Picea mariana,4,16,8.723277,651.000000,30.630000,Cool,Cool
Picea mariana,4,16,9.309878,834.000000,30.690000,Cool,Cool
Picea mariana,5,17,-1.146888,67.700000,30.400000,Cool,Cool
Picea mariana,5,17,-0.418947,91.700000,30.280000,Cool,Cool
Picea mariana,5,17,1.326643,150.000000,29.700000,Cool,Cool
Picea mariana,5,17,2.990364,212.000000,29.390000,Cool,Cool
Picea mariana,5,17,4.846690,285.000000,28.690000,Cool,Cool
Picea mariana,5,17,4.441780,290.000000,30.450000,Cool,Cool
Picea mariana,5,17,6.400518,438.000000,30.510000,Cool,Cool
Picea mariana,5,17,7.197644,599.000000,30.630000,Cool,Cool
Picea mariana,5,17,7.729433,771.000000,30.730000,Cool,Cool
Picea mariana,6,18,-0.564264,75.600000,30.490000,Cool,Cool
Picea mariana,6,18,-0.018115,106.000000,30.390000,Cool,Cool
Picea mariana,6,18,1.029675,168.000000,30.170000,Cool,Cool
Picea mariana,6,18,2.117316,239.000000,29.970000,Cool,Cool
Picea mariana,6,18,3.176591,315.000000,29.600000,Cool,Cool
Picea mariana,6,18,2.982410,316.000000,30.690000,Cool,Cool
Picea mariana,6,18,4.022666,476.000000,30.750000,Cool,Cool
Picea mariana,6,18,4.473693,646.000000,30.850000,Cool,Cool
Picea mariana,6,18,4.776664,825.000000,30.910000,Cool,Cool
Picea mariana,1,19,-1.229147,102.000000,40.000000,Cool,Cool
Picea mariana,1,19,-0.940637,137.000000,39.910000,Cool,Cool
Picea mariana,1,19,-0.401506,205.000000,39.840000,Cool,Cool
Picea mariana,1,19,0.142703,273.000000,39.700000,Cool,Cool
Picea mariana,1,19,0.710378,338.000000,39.420000,Cool,Cool
Picea mariana,1,19,0.615975,357.000000,40.040000,Cool,Cool
Picea mariana,1,19,1.450709,519.000000,40.090000,Cool,Cool
Picea mariana,1,19,1.748774,683.000000,40.200000,Cool,Cool
Picea mariana,1,19,1.958595,859.000000,40.270000,Cool,Cool
Picea mariana,2,20,-1.279692,135.000000,40.350000,Cool,Cool
Picea mariana,2,20,-0.997344,166.000000,40.370000,Cool,Cool
Picea mariana,2,20,-0.469115,222.000000,40.270000,Cool,Cool
Picea mariana,2,20,0.098007,283.000000,40.170000,Cool,Cool
Picea mariana,2,20,0.644041,344.000000,40.100000,Cool,Cool
Picea mariana,2,20,0.707233,370.000000,40.420000,Cool,Cool
Picea mariana,2,20,1.656639,527.000000,40.460000,Cool,Cool
Picea mariana,2,20,2.159220,669.000000,40.240000,Cool,Cool
Picea mariana,2,20,2.541366,825.000000,40.090000,Cool,Cool
Picea mariana,3,21,-1.233263,128.000000,40.120000,Cool,Cool
Picea mariana,3,21,-0.886108,166.000000,40.100000,Cool,Cool
Picea mariana,3,21,-0.221880,241.000000,40.060000,Cool,Cool
Picea mariana,3,21,0.444675,313.000000,39.880000,Cool,Cool
Picea mariana,3,21,1.096038,384.000000,39.710000,Cool,Cool
Picea mariana,3,21,1.040602,405.000000,40.160000,Cool,Cool
Picea mariana,3,21,1.810053,574.000000,40.240000,Cool,Cool
Picea mariana,3,21,2.081510,743.000000,40.390000,Cool,Cool
Picea mariana,3,21,2.310948,915.000000,40.420000,Cool,Cool
Picea mariana,4,22,-2.266215,89.200000,39.870000,Cool,Cool
Picea mariana,4,22,-1.816720,120.000000,39.770000,Cool,Cool
Picea mariana,4,22,-0.976159,179.000000,39.670000,Cool,Cool
Picea mariana,4,22,-0.142688,239.000000,39.590000,Cool,Cool
Picea mariana,4,22,0.770473,301.000000,39.380000,Cool,Cool
Picea mariana,4,22,0.723873,321.000000,39.900000,Cool,Cool
Picea mariana,4,22,2.370001,474.000000,39.880000,Cool,Cool
Picea mariana,4,22,3.044654,638.000000,39.970000,Cool,Cool
Picea mariana,4,22,3.513766,808.000000,39.960000,Cool,Cool
Picea mariana,5,23,-2.106003,113.000000,43.960000,Cool,Cool
Picea mariana,5,23,-1.932299,144.000000,43.930000,Cool,Cool
Picea mariana,5,23,-1.618288,202.000000,43.920000,Cool,Cool
Picea mariana,5,23,-1.302228,262.000000,43.910000,Cool,Cool
Picea mariana,5,23,-0.999376,323.000000,43.930000,Cool,Cool
Picea mariana,5,23,0.066891,326.000000,41.170000,Cool,Cool
Picea mariana,5,23,1.056829,459.000000,41.230000,Cool,Cool
Picea mariana,5,23,1.632773,602.000000,41.260000,Cool,Cool
Picea mariana,5,23,1.955543,751.000000,41.280000,Cool,Cool
Picea mariana,6,24,-1.073491,103.000000,39.910000,Cool,Cool
Picea mariana,6,24,-0.806486,140.000000,39.870000,Cool,Cool
Picea mariana,6,24,-0.294148,215.000000,39.870000,Cool,Cool
Picea mariana,6,24,0.200958,287.000000,39.760000,Cool,Cool
Picea mariana,6,24,0.723761,362.000000,39.590000,Cool,Cool
Picea mariana,6,24,0.674470,373.000000,39.930000,Cool,Cool
Picea mariana,6,24,1.383981,534.000000,39.930000,Cool,Cool
Picea mariana,6,24,1.630764,697.000000,40.050000,Cool,Cool
Picea mariana,6,24,1.866907,865.000000,39.980000,Cool,Cool
