Index,Species,Leaf,Curve,Photo,Cond,Ci,Trmmol,VpdL,CO2S,Tleaf,Season,fitgroup
64,Picea mariana,2,8,1.1049849753991603,0.16699999999999998,216.0,1.63,0.991,259.87,293.82,Cool,Cool
65,Picea mariana,2,8,2.6796829918925287,0.163,145.0,1.62,1.01,173.79,293.90999999999997,Cool,Cool
66,Picea mariana,2,8,4.075833250457983,0.16,80.3,1.6,1.02,90.25,293.83,Cool,Cool
67,Picea mariana,2,8,5.317474433032099,0.157,51.6,1.59,1.03,50.17,293.84999999999997,Cool,Cool
68,Picea mariana,2,8,5.369535090921757,0.153,300.0,1.58,1.04,354.35,293.83,Cool,Cool
69,Picea mariana,2,8,6.473862526885223,0.152,479.0,1.57,1.05,545.21,293.83,Cool,Cool
70,Picea mariana,2,8,6.874392938585008,0.149,662.0,1.55,1.06,737.79,293.83,Cool,Cool
71,Picea mariana,2,8,7.104928218474721,0.146,851.0,1.53,1.06,933.84,293.72999999999996,Cool,Cool
72,Picea mariana,3,9,0.4735909489966872,0.08900000000000001,282.0,1.51,1.72,376.18,293.58,Cool,Cool
73,Picea mariana,3,9,1.1646259623540638,0.099,211.0,1.63,1.66,280.26,293.56,Cool,Cool
74,Picea mariana,3,9,2.385877977870791,0.106,149.0,1.71,1.63,187.83,293.56,Cool,Cool
75,Picea mariana,3,9,3.4165333751836235,0.11800000000000001,88.9,1.83,1.57,96.72,293.5,Cool,Cool
76,Picea mariana,3,9,4.377206703121995,0.13,59.8,1.94,1.51,52.5,293.46999999999997,Cool,Cool
77,Picea mariana,3,9,4.678999620836968,0.13699999999999998,309.0,2.0,1.48,374.8,293.48999999999995,Cool,Cool
78,Picea mariana,3,9,5.479802794778863,0.134,479.0,1.98,1.5,566.68,293.5,Cool,Cool
79,Picea mariana,3,9,5.813605251841741,0.125,659.0,1.9,1.54,763.53,293.53,Cool,Cool
80,Picea mariana,3,9,6.019402907436257,0.11699999999999999,843.0,1.82,1.57,961.77,293.52,Cool,Cool
81,Picea mariana,4,10,0.2443446489024938,0.24600000000000002,313.0,2.68,1.11,363.61,293.29999999999995,Cool,Cool
82,Picea mariana,4,10,1.4716488399695442,0.265,230.0,2.77,1.06,269.42,293.32,Cool,Cool
83,Picea mariana,4,10,3.6202668886270564,0.268,152.0,2.79,1.06,178.64,293.32,Cool,Cool
84,Picea mariana,4,10,5.466375201556731,0.28,80.9,2.83,1.03,91.27,293.28,Cool,Cool
85,Picea mariana,4,10,6.958268109829716,0.27899999999999997,47.4,2.82,1.03,48.1,293.29999999999995,Cool,Cool
86,Picea mariana,4,10,7.014167560073081,0.289,317.0,2.84,1.0,362.44,293.29999999999995,Cool,Cool
87,Picea mariana,4,10,8.116074931188125,0.278,498.0,2.77,1.02,554.6,293.33,Cool,Cool
88,Picea mariana,4,10,8.589701093808808,0.27699999999999997,687.0,2.74,1.01,750.29,293.35999999999996,Cool,Cool
89,Picea mariana,4,10,8.889258977825708,0.276,876.0,2.64,0.975,945.27,293.4,Cool,Cool
90,Picea mariana,5,11,0.23963578177327116,0.10400000000000001,285.0,1.4,1.33,371.89,293.51,Cool,Cool
91,Picea mariana,5,11,0.9726760455305422,0.10300000000000001,206.0,1.38,1.33,276.89,293.48999999999995,Cool,Cool
92,Picea mariana,5,11,2.3376402667460785,0.102,137.0,1.37,1.32,183.34,293.48999999999995,Cool,Cool
93,Picea mariana,5,11,3.6099090637030673,0.10300000000000001,77.4,1.37,1.31,94.16,293.47999999999996,Cool,Cool
94,Picea mariana,5,11,4.764799581049106,0.10300000000000001,50.0,1.37,1.31,49.14,293.47999999999996,Cool,Cool
95,Picea mariana,5,11,4.790242396334336,0.10300000000000001,287.0,1.34,1.29,372.55,293.48999999999995,Cool,Cool
96,Picea mariana,5,11,5.874933061334837,0.1,463.0,1.32,1.3,567.59,293.52,Cool,Cool
97,Picea mariana,5,11,6.258610558681328,0.102,652.0,1.33,1.28,763.85,293.48999999999995,Cool,Cool
98,Picea mariana,5,11,6.504389186471227,0.102,845.0,1.32,1.28,962.5,293.53999999999996,Cool,Cool
99,Picea mariana,6,12,0.22084488409234126,0.133,323.0,1.69,1.25,371.5,293.46999999999997,Cool,Cool
100,Picea mariana,6,12,0.7899994020989985,0.151,240.0,1.8,1.18,276.11,293.51,Cool,Cool
101,Picea mariana,6,12,1.8375962747606207,0.16399999999999998,162.0,1.87,1.13,184.02,293.46,Cool,Cool
102,Picea mariana,6,12,2.688326515800086,0.154,87.3,1.82,1.17,94.73,293.51,Cool,Cool
103,Picea mariana,6,12,3.3719619963187224,0.153,53.6,1.81,1.17,50.61,293.47999999999996,Cool,Cool
104,Picea mariana,6,12,3.4157694845622717,0.142,330.0,1.76,1.22,374.29,293.53,Cool,Cool
105,Picea mariana,6,12,3.8914664644836106,0.14,510.0,1.74,1.23,566.71,293.52,Cool,Cool
106,Picea mariana,6,12,4.0985657920531,0.136,694.0,1.71,1.24,761.35,293.47999999999996,Cool,Cool
107,Picea mariana,6,12,4.245853436960226,0.129,877.0,1.67,1.28,956.72,293.59,Cool,Cool
108,Picea mariana,1,13,-0.09673922102202981,0.0629,280.0,1.23,1.92,376.11,303.83,Cool,Cool
109,Picea mariana,1,13,0.4036893992583746,0.0694,217.0,1.34,1.89,281.96,303.84999999999997,Cool,Cool
110,Picea mariana,1,13,1.2419756108973357,0.0713,155.0,1.38,1.9,189.57,303.9,Cool,Cool
111,Picea mariana,1,13,2.1041238224356738,0.0838,99.7,1.54,1.81,99.54,303.92999999999995,Cool,Cool
112,Picea mariana,1,13,2.900503970327775,0.0984,69.3,1.71,1.71,55.03,304.06,Cool,Cool
113,Picea mariana,1,13,3.3845727623758965,0.126,325.0,2.09,1.65,375.46,304.2,Cool,Cool
114,Picea mariana,1,13,5.0182561370983,0.131,491.0,2.13,1.61,563.65,304.35999999999996,Cool,Cool
115,Picea mariana,1,13,5.748121529825262,0.131,667.0,2.13,1.6,755.71,304.52,Cool,Cool
116,Picea mariana,1,13,6.099874282462744,0.125,848.0,2.06,1.62,950.93,304.63,Cool,Cool
117,Picea mariana,2,14,-0.08594604136116857,0.0978,280.0,1.68,1.7,357.24,303.64,Cool,Cool
118,Picea mariana,2,14,0.5563357753027516,0.10099999999999999,215.0,1.73,1.69,268.8,303.84,Cool,Cool
119,Picea mariana,2,14,1.7740420609603498,0.107,154.0,1.77,1.64,181.91,303.83,Cool,Cool
120,Picea mariana,2,14,2.988353011362737,0.11199999999999999,98.3,1.83,1.62,98.9,303.85999999999996,Cool,Cool
121,Picea mariana,2,14,4.19908887711617,0.113,71.5,1.89,1.65,57.81,304.04999999999995,Cool,Cool
122,Picea mariana,2,14,4.445863766365542,0.121,298.0,2.03,1.66,358.88,304.03,Cool,Cool
123,Picea mariana,2,14,6.895241330201966,0.124,461.0,2.09,1.67,542.81,303.97999999999996,Cool,Cool
124,Picea mariana,2,14,8.171260331282102,0.124,638.0,2.1,1.68,733.71,304.2,Cool,Cool
125,Picea mariana,2,14,8.713510730324664,0.126,820.0,2.14,1.68,924.8,304.2,Cool,Cool
126,Picea mariana,3,15,0.47399351310983434,0.073,300.0,1.78,2.41,382.49,303.21,Cool,Cool
127,Picea mariana,3,15,1.0047219993741627,0.0738,237.0,1.79,2.41,288.92,303.34999999999997,Cool,Cool
128,Picea mariana,3,15,1.9835731507870675,0.075,178.0,1.78,2.36,195.07,303.41999999999996,Cool,Cool
129,Picea mariana,3,15,2.9657976259103886,0.078,124.0,1.76,2.24,103.9,303.47999999999996,Cool,Cool
130,Picea mariana,3,15,3.9315424729124198,0.0843,96.7,1.79,2.1,59.08,303.53999999999996,Cool,Cool
131,Picea mariana,3,15,4.1194508224499256,0.0939,318.0,1.85,1.95,383.25,303.72999999999996,Cool,Cool
132,Picea mariana,3,15,6.100377496340694,0.0944,479.0,1.83,1.92,574.23,303.77,Cool,Cool
133,Picea mariana,3,15,7.026829536535267,0.0926,653.0,1.78,1.9,769.28,303.87,Cool,Cool
134,Picea mariana,3,15,7.464468181334229,0.0919,835.0,1.74,1.88,966.01,303.89,Cool,Cool
135,Picea mariana,4,16,-0.43799488060532243,0.14800000000000002,288.0,2.67,1.77,365.17,303.52,Cool,Cool
136,Picea mariana,4,16,0.5883071904356161,0.157,219.0,2.74,1.71,273.88,303.5,Cool,Cool
137,Picea mariana,4,16,2.5424134105971508,0.20199999999999999,156.0,2.79,1.37,183.11,302.29999999999995,Cool,Cool
138,Picea mariana,4,16,3.9240658695166024,0.19699999999999998,89.8,2.88,1.44,96.24,302.87,Cool,Cool
139,Picea mariana,4,16,5.4865794332733255,0.196,58.0,2.95,1.49,52.51,303.34999999999997,Cool,Cool
140,Picea mariana,4,16,5.981813289503231,0.19699999999999998,311.0,2.97,1.49,367.79,303.47999999999996,Cool,Cool
141,Picea mariana,4,16,8.966739193403324,0.192,475.0,2.93,1.51,554.63,303.59999999999997,Cool,Cool
142,Picea mariana,4,16,10.361162308916834,0.188,651.0,2.93,1.53,747.04,303.78,Cool,Cool
143,Picea mariana,4,16,11.011189756649106,0.187,834.0,2.91,1.53,941.63,303.84,Cool,Cool
144,Picea mariana,5,17,-0.11906541542876375,0.0918,285.0,2.03,2.16,373.43,301.84,Cool,Cool
145,Picea mariana,5,17,0.4161918775477468,0.0916,212.0,2.13,2.26,279.19,302.53999999999996,Cool,Cool
146,Picea mariana,5,17,1.6767026638734395,0.0922,150.0,2.18,2.3,187.92,302.84999999999997,Cool,Cool
147,Picea mariana,5,17,2.874482964636082,0.0843,91.7,2.12,2.44,98.18,303.42999999999995,Cool,Cool
148,Picea mariana,5,17,4.186947924059817,0.0875,67.7,2.19,2.43,53.22,303.54999999999995,Cool,Cool
149,Picea mariana,5,17,4.034207278643944,0.0838,290.0,2.13,2.46,376.8,303.59999999999997,Cool,Cool
150,Picea mariana,5,17,6.114816292022061,0.0834,438.0,2.13,2.47,565.92,303.65999999999997,Cool,Cool
151,Picea mariana,5,17,7.3972464874982595,0.081,599.0,2.1,2.51,759.2,303.78,Cool,Cool
152,Picea mariana,5,17,7.924198157728787,0.0775,771.0,2.04,2.55,955.43,303.88,Cool,Cool
153,Picea mariana,6,18,0.030702982380912847,0.0966,315.0,1.96,1.97,374.35,302.75,Cool,Cool
154,Picea mariana,6,18,0.45905571628880193,0.0909,239.0,1.93,2.06,282.69,303.12,Cool,Cool
155,Picea mariana,6,18,1.2759152415591157,0.0895,168.0,1.93,2.09,190.06,303.32,Cool,Cool
156,Picea mariana,6,18,2.120082797911655,0.08900000000000001,106.0,1.95,2.11,101.09,303.53999999999996,Cool,Cool
157,Picea mariana,6,18,2.9430268701559728,0.0915,75.6,1.99,2.1,56.72,303.64,Cool,Cool
158,Picea mariana,6,18,2.856097250431376,0.0908,316.0,1.99,2.11,376.02,303.84,Cool,Cool
159,Picea mariana,6,18,4.24262140688238,0.0893,476.0,1.97,2.12,565.91,303.9,Cool,Cool
160,Picea mariana,6,18,4.907100607075585,0.0888,646.0,1.97,2.14,757.55,304.0,Cool,Cool
161,Picea mariana,6,18,5.217702522255803,0.0884,825.0,1.97,2.15,951.48,304.06,Cool,Cool
162,Picea mariana,1,19,-0.2858335874372349,0.067,338.0,2.55,3.67,386.48,312.57,Cool,Cool
163,Picea mariana,1,19,0.1072974352791275,0.0659,273.0,2.57,3.75,294.15,312.84999999999997,Cool,Cool
164,Picea mariana,1,19,0.8382309624295273,0.0651,205.0,2.57,3.8,200.25,312.99,Cool,Cool
165,Picea mariana,1,19,1.5503162561195587,0.0655,137.0,2.59,3.8,107.22,313.05999999999995,Cool,Cool
166,Picea mariana,1,19,2.234171547420476,0.0653,102.0,2.6,3.82,60.36,313.15,Cool,Cool
167,Picea mariana,1,19,2.279450664515505,0.0669,357.0,2.65,3.81,391.1,313.19,Cool,Cool
168,Picea mariana,1,19,3.1516179294006914,0.0681,519.0,2.7,3.81,583.1,313.24,Cool,Cool
169,Picea mariana,1,19,3.534700935498182,0.0686,683.0,2.74,3.84,775.18,313.34999999999997,Cool,Cool
170,Picea mariana,1,19,3.812830542340356,0.0696,859.0,2.8,3.86,969.9,313.41999999999996,Cool,Cool
171,Picea mariana,2,20,0.0629326848185261,0.0499,344.0,1.69,3.23,386.68,313.25,Cool,Cool
172,Picea mariana,2,20,0.5272173489435957,0.0536,283.0,1.78,3.17,295.46,313.32,Cool,Cool
173,Picea mariana,2,20,1.3665712467894489,0.0499,222.0,1.7,3.26,204.75,313.41999999999996,Cool,Cool
174,Picea mariana,2,20,2.2504440791446885,0.0465,166.0,1.63,3.34,113.18,313.52,Cool,Cool
175,Picea mariana,2,20,3.0904251914892256,0.0468,135.0,1.63,3.33,66.89,313.5,Cool,Cool
176,Picea mariana,2,20,3.310174114557298,0.0493,370.0,1.71,3.31,393.48,313.57,Cool,Cool
177,Picea mariana,2,20,4.344920097049636,0.0505,527.0,1.74,3.3,583.8,313.60999999999996,Cool,Cool
178,Picea mariana,2,20,5.0126546239884995,0.0361,669.0,1.35,3.58,778.08,313.39,Cool,Cool
179,Picea mariana,2,20,5.52939812892509,0.0362,825.0,1.35,3.57,970.33,313.24,Cool,Cool
180,Picea mariana,3,21,-0.01242551074782805,0.0885,384.0,3.4,3.72,396.45,312.85999999999996,Cool,Cool
181,Picea mariana,3,21,0.4879222202308561,0.0908,313.0,3.48,3.71,302.14,313.03,Cool,Cool
182,Picea mariana,3,21,1.439030955699677,0.092,241.0,3.54,3.72,207.59,313.21,Cool,Cool
183,Picea mariana,3,21,2.339401190971254,0.0907,166.0,3.5,3.73,113.11,313.25,Cool,Cool
184,Picea mariana,3,21,3.179950203547941,0.0901,128.0,3.48,3.73,65.1,313.27,Cool,Cool
185,Picea mariana,3,21,3.2313166852188298,0.0888,405.0,3.44,3.74,401.52,313.30999999999995,Cool,Cool
186,Picea mariana,3,21,3.9937130287197085,0.0857,574.0,3.36,3.79,594.82,313.39,Cool,Cool
187,Picea mariana,3,21,4.3761080083228485,0.078,743.0,3.16,3.91,789.63,313.53999999999996,Cool,Cool
188,Picea mariana,3,21,4.685237354432942,0.0748,915.0,3.07,3.96,985.31,313.57,Cool,Cool
189,Picea mariana,4,22,-0.7616169156282483,0.0849,301.0,3.13,3.53,379.07,312.53,Cool,Cool
190,Picea mariana,4,22,-0.12167148376396697,0.0839,239.0,3.16,3.6,287.01,312.74,Cool,Cool
191,Picea mariana,4,22,1.06178470683908,0.0891,179.0,3.32,3.56,194.37,312.82,Cool,Cool
192,Picea mariana,4,22,2.219168206182195,0.0952,120.0,3.49,3.51,103.63,312.91999999999996,Cool,Cool
193,Picea mariana,4,22,3.4117402284603497,0.0928,89.2,3.46,3.56,56.92,313.02,Cool,Cool
194,Picea mariana,4,22,3.582204328073126,0.0967,321.0,3.62,3.58,382.63,313.04999999999995,Cool,Cool
195,Picea mariana,4,22,5.568095266053424,0.0995,474.0,3.7,3.55,570.65,313.03,Cool,Cool
196,Picea mariana,4,22,6.4037660441462005,0.1,638.0,3.76,3.58,762.71,313.12,Cool,Cool
197,Picea mariana,4,22,7.026064529981831,0.102,808.0,3.8,3.58,955.16,313.10999999999996,Cool,Cool
198,Picea mariana,5,23,-0.6056746568223067,0.0498,323.0,3.44,6.48,388.93,317.08,Cool,Cool
199,Picea mariana,5,23,-0.2714774120261821,0.0519,262.0,3.55,6.41,294.26,317.05999999999995,Cool,Cool
200,Picea mariana,5,23,0.332404926649572,0.0519,202.0,3.54,6.41,199.29,317.07,Cool,Cool
201,Picea mariana,5,23,0.9145948429574895,0.0514,144.0,3.52,6.42,105.78,317.08,Cool,Cool
202,Picea mariana,5,23,1.317149500963052,0.0515,113.0,3.53,6.43,58.28,317.10999999999996,Cool,Cool
203,Picea mariana,5,23,2.333479453270898,0.0493,326.0,2.87,5.5,390.1,314.32,Cool,Cool
204,Picea mariana,5,23,3.281925692198648,0.0467,459.0,2.76,5.59,581.77,314.38,Cool,Cool
205,Picea mariana,5,23,3.8167801629064275,0.0436,602.0,2.61,5.68,776.13,314.40999999999997,Cool,Cool
206,Picea mariana,5,23,4.201594243267388,0.0429,751.0,2.58,5.7,969.97,314.42999999999995,Cool,Cool
207,Picea mariana,6,24,-0.2304507970546106,0.0798,362.0,3.39,4.01,390.11,312.74,Cool,Cool
208,Picea mariana,6,24,0.12371328911126545,0.08,287.0,3.43,4.05,295.86,312.90999999999997,Cool,Cool
209,Picea mariana,6,24,0.8059694674381994,0.0802,215.0,3.46,4.07,203.82,313.02,Cool,Cool
210,Picea mariana,6,24,1.4424848276956712,0.0808,140.0,3.48,4.07,110.07,313.02,Cool,Cool
211,Picea mariana,6,24,2.0829093417643745,0.0809,103.0,3.49,4.07,62.92,313.05999999999995,Cool,Cool
212,Picea mariana,6,24,2.10202538009343,0.0807,373.0,3.49,4.08,393.87,313.08,Cool,Cool
213,Picea mariana,6,24,2.808771514151771,0.0797,534.0,3.46,4.1,582.75,313.08,Cool,Cool
214,Picea mariana,6,24,3.1219976984157176,0.0762,697.0,3.4,4.2,774.01,313.2,Cool,Cool
215,Picea mariana,6,24,3.402504253891505,0.0757,865.0,3.37,4.2,966.66,313.13,Cool,Cool
